"","Year.Rel","released","Accession","Inbred.Line","Inbred.name","GBS.name..Sample.Flowcell.Lane.Well.","P1A","P2A","ancest","history","Pop.structure","remarks"
"1",NA,NA,"12E",NA,"12E","12E:81FE8ABXX:4:H8",NA,NA,NA,NA,NA,NA
"2",NA,NA,"3167B",NA,"3167B","3167B:81FE8ABXX:7:F8",NA,NA,NA,NA,NA,NA
"3",NA,NA,"3316",NA,"3316","33-16:627C3AAXX:5:H8",NA,NA,NA,NA,NA,NA
"4",NA,NA,"3316",NA,"3316","33-16:8042MABXX:2:H8",NA,NA,NA,NA,NA,NA
"5",NA,NA,"3811",NA,"3811","38-11:627C3AAXX:6:B10",NA,NA,NA,NA,NA,NA
"6",NA,NA,"3811",NA,"3811","38-11:8042MABXX:3:B10",NA,NA,NA,NA,NA,NA
"7",NA,NA,"4226",NA,"4226","4226:627C3AAXX:6:A12",NA,NA,NA,NA,NA,NA
"8",NA,NA,"4226",NA,"4226","4226:8042MABXX:3:A12",NA,NA,NA,NA,NA,NA
"9",NA,NA,"4722",NA,"4722","4722:627C3AAXX:7:H4",NA,NA,NA,NA,NA,NA
"10",NA,NA,"4722",NA,"4722","4722:8042MABXX:4:H4",NA,NA,NA,NA,NA,NA
"11",0,NA,"A131","A131","A131","A131:81FENABXX:7:D4","A9","A26",NA,NA,"unclassified",NA
"12",0,NA,"A131","A131","A131","A131(Holland):D0D0BACXX:3:G5","A9","A26",NA,NA,"unclassified",NA
"13",NA,NA,"A188",NA,"A188","A188:627C3AAXX:6:D3",NA,NA,NA,NA,NA,NA
"14",NA,NA,"A188",NA,"A188","A188:8042MABXX:3:D3",NA,NA,NA,NA,NA,NA
"15",NA,NA,"A214N",NA,"A214N","A214N:627C3AAXX:6:E11",NA,NA,NA,NA,NA,NA
"16",NA,NA,"A214N",NA,"A214N","A214N:8042MABXX:3:E11",NA,NA,NA,NA,NA,NA
"17",NA,NA,"A239",NA,"A239","A239:627C3AAXX:5:B2",NA,NA,NA,NA,NA,NA
"18",NA,NA,"A239",NA,"A239","A239:8042MABXX:2:B2",NA,NA,NA,NA,NA,NA
"19",NA,NA,"A272",NA,"A272","A272:627C3AAXX:5:B5",NA,NA,NA,NA,NA,NA
"20",NA,NA,"A272",NA,"A272","A272:8042MABXX:2:B5",NA,NA,NA,NA,NA,NA
"21",NA,NA,"A3G-3-1-3",NA,"A3G-3-1-3","A3G-3-1-3:81FE8ABXX:4:E10",NA,NA,NA,NA,NA,NA
"22",NA,NA,"A4415",NA,"A4415","A441-5:627C3AAXX:6:C4",NA,NA,NA,NA,NA,NA
"23",NA,NA,"A4415",NA,"A4415","A441-5:8042MABXX:3:C4",NA,NA,NA,NA,NA,NA
"24",NA,NA,"A554",NA,"A554","A554:627C3AAXX:5:C6",NA,NA,NA,NA,NA,NA
"25",NA,NA,"A554",NA,"A554","A554:8042MABXX:2:C6",NA,NA,NA,NA,NA,NA
"26",NA,NA,"A556",NA,"A556","A556:627C3AAXX:7:C8",NA,NA,NA,NA,NA,NA
"27",NA,NA,"A556",NA,"A556","A556:8042MABXX:4:C8",NA,NA,NA,NA,NA,NA
"28",NA,NA,"A6",NA,"A6","A6:627C3AAXX:6:C5",NA,NA,NA,NA,NA,NA
"29",NA,NA,"A6",NA,"A6","A6:8042MABXX:3:C5",NA,NA,NA,NA,NA,NA
"30",NA,NA,"A619",NA,"A619","A619:627C3AAXX:5:D3",NA,NA,NA,NA,NA,NA
"31",NA,NA,"A619",NA,"A619","A619:8042MABXX:2:D3",NA,NA,NA,NA,NA,NA
"32",NA,NA,"A632",NA,"A632","A632:627C3AAXX:5:F4",NA,NA,NA,NA,NA,NA
"33",NA,NA,"A632",NA,"A632","A632:8042MABXX:2:F4",NA,NA,NA,NA,NA,NA
"34",NA,NA,"A634",NA,"A634","A634:627C3AAXX:7:C1",NA,NA,NA,NA,NA,NA
"35",NA,NA,"A634",NA,"A634","A634:8042MABXX:4:C1",NA,NA,NA,NA,NA,NA
"36",NA,NA,"A635",NA,"A635","A635:627C3AAXX:7:H9",NA,NA,NA,NA,NA,NA
"37",NA,NA,"A635",NA,"A635","A635:8042MABXX:4:H9",NA,NA,NA,NA,NA,NA
